2026/05/09 13:02:57.589, 38
2026/05/09 13:02:58.635, 38
2026/05/09 13:02:59.668, 1690
2026/05/09 13:03:00.686, 3220
2026/05/09 13:03:01.714, 3220
2026/05/09 13:03:02.741, 3220
2026/05/09 13:03:03.757, 3220
2026/05/09 13:03:04.786, 3220
2026/05/09 13:03:05.814, 4668
2026/05/09 13:03:06.843, 4668
2026/05/09 13:03:07.863, 4668
2026/05/09 13:03:08.890, 4668
2026/05/09 13:03:09.915, 4668
2026/05/09 13:03:10.943, 4668
2026/05/09 13:03:11.970, 4668
2026/05/09 13:03:13.001, 4668
2026/05/09 13:03:14.028, 4668
2026/05/09 13:03:15.058, 4668
2026/05/09 13:03:16.088, 4668
2026/05/09 13:03:17.115, 4668
2026/05/09 13:03:18.143, 4668
2026/05/09 13:03:19.170, 4668
2026/05/09 13:03:20.198, 4668
2026/05/09 13:03:21.225, 4668
2026/05/09 13:03:22.253, 4668
2026/05/09 13:03:23.284, 4668
2026/05/09 13:03:24.312, 4668
2026/05/09 13:03:25.338, 4668
2026/05/09 13:03:26.366, 4668
2026/05/09 13:03:27.394, 4668
2026/05/09 13:03:28.424, 4668
2026/05/09 13:03:29.451, 4668
2026/05/09 13:03:30.477, 4668
2026/05/09 13:03:31.505, 4668
2026/05/09 13:03:32.533, 4668
2026/05/09 13:03:33.562, 4668
2026/05/09 13:03:34.589, 4668
