timestamp,used_mib,free_mib,total_mib
2026-05-12T19:44:05,131,15701,16303
2026-05-12T19:44:05,131,15701,16303
2026-05-12T19:44:06,131,15701,16303
2026-05-12T19:44:06,131,15701,16303
2026-05-12T19:44:07,1699,14133,16303
2026-05-12T19:44:07,3313,12519,16303
2026-05-12T19:44:08,3313,12519,16303
2026-05-12T19:44:08,3313,12519,16303
2026-05-12T19:44:09,3313,12519,16303
2026-05-12T19:44:09,3313,12519,16303
2026-05-12T19:44:10,3313,12519,16303
2026-05-12T19:44:10,3313,12519,16303
2026-05-12T19:44:11,3313,12519,16303
2026-05-12T19:44:12,3313,12519,16303
2026-05-12T19:44:12,3313,12519,16303
2026-05-12T19:44:13,3313,12519,16303
2026-05-12T19:44:13,3469,12363,16303
2026-05-12T19:44:14,3469,12363,16303
2026-05-12T19:44:14,3469,12363,16303
2026-05-12T19:44:15,3469,12363,16303
2026-05-12T19:44:15,3469,12363,16303
2026-05-12T19:44:16,3469,12363,16303
2026-05-12T19:44:16,3469,12363,16303
2026-05-12T19:44:17,3469,12363,16303
2026-05-12T19:44:17,3469,12363,16303
2026-05-12T19:44:18,3469,12363,16303
2026-05-12T19:44:18,3469,12363,16303
2026-05-12T19:44:19,3469,12363,16303
2026-05-12T19:44:19,3469,12363,16303
2026-05-12T19:44:20,3469,12363,16303
2026-05-12T19:44:21,3469,12363,16303
2026-05-12T19:44:21,3469,12363,16303
2026-05-12T19:44:22,3469,12363,16303
2026-05-12T19:44:22,3469,12363,16303
2026-05-12T19:44:23,3469,12363,16303
2026-05-12T19:44:23,3471,12361,16303
