timestamp,used_mib,free_mib,total_mib
2026-05-12T19:45:58,131,15701,16303
2026-05-12T19:45:58,131,15701,16303
2026-05-12T19:45:59,131,15701,16303
2026-05-12T19:45:59,131,15701,16303
2026-05-12T19:46:00,1731,14101,16303
2026-05-12T19:46:00,3313,12519,16303
2026-05-12T19:46:01,3313,12519,16303
2026-05-12T19:46:01,3313,12519,16303
2026-05-12T19:46:02,3313,12519,16303
2026-05-12T19:46:02,3313,12519,16303
2026-05-12T19:46:03,3313,12519,16303
2026-05-12T19:46:03,3313,12519,16303
2026-05-12T19:46:04,3313,12519,16303
2026-05-12T19:46:04,3313,12519,16303
2026-05-12T19:46:05,3355,12477,16303
2026-05-12T19:46:05,3749,12083,16303
2026-05-12T19:46:06,3749,12083,16303
2026-05-12T19:46:06,3749,12083,16303
2026-05-12T19:46:07,3749,12083,16303
2026-05-12T19:46:07,3749,12083,16303
2026-05-12T19:46:08,3749,12083,16303
2026-05-12T19:46:09,3749,12083,16303
2026-05-12T19:46:09,3749,12083,16303
2026-05-12T19:46:10,3749,12083,16303
2026-05-12T19:46:10,3749,12083,16303
2026-05-12T19:46:11,3749,12083,16303
2026-05-12T19:46:11,3749,12083,16303
2026-05-12T19:46:12,3749,12083,16303
2026-05-12T19:46:12,3749,12083,16303
2026-05-12T19:46:13,3749,12083,16303
2026-05-12T19:46:13,3749,12083,16303
2026-05-12T19:46:14,3749,12083,16303
2026-05-12T19:46:14,3749,12083,16303
2026-05-12T19:46:15,3749,12083,16303
2026-05-12T19:46:15,3749,12083,16303
2026-05-12T19:46:16,3749,12083,16303
2026-05-12T19:46:16,3749,12083,16303
2026-05-12T19:46:17,3749,12083,16303
2026-05-12T19:46:18,3749,12083,16303
2026-05-12T19:46:18,3749,12083,16303
2026-05-12T19:46:19,3749,12083,16303
2026-05-12T19:46:19,3749,12083,16303
