timestamp,used_mib,free_mib,total_mib
2026-05-12T19:46:36,131,15701,16303
2026-05-12T19:46:37,131,15701,16303
2026-05-12T19:46:37,131,15701,16303
2026-05-12T19:46:38,131,15701,16303
2026-05-12T19:46:38,1523,14309,16303
2026-05-12T19:46:39,3313,12519,16303
2026-05-12T19:46:39,3313,12519,16303
2026-05-12T19:46:40,3313,12519,16303
2026-05-12T19:46:41,3313,12519,16303
2026-05-12T19:46:41,3313,12519,16303
2026-05-12T19:46:42,3313,12519,16303
2026-05-12T19:46:42,3313,12519,16303
2026-05-12T19:46:43,3313,12519,16303
2026-05-12T19:46:43,3313,12519,16303
2026-05-12T19:46:44,3313,12519,16303
2026-05-12T19:46:44,3313,12519,16303
2026-05-12T19:46:45,3657,12175,16303
2026-05-12T19:46:45,4689,11143,16303
2026-05-12T19:46:46,4689,11143,16303
2026-05-12T19:46:46,4689,11143,16303
2026-05-12T19:46:47,4689,11143,16303
2026-05-12T19:46:47,4689,11143,16303
2026-05-12T19:46:48,4689,11143,16303
2026-05-12T19:46:48,4689,11143,16303
2026-05-12T19:46:49,4689,11143,16303
2026-05-12T19:46:49,4689,11143,16303
2026-05-12T19:46:50,4689,11143,16303
2026-05-12T19:46:50,4689,11143,16303
2026-05-12T19:46:51,4689,11143,16303
2026-05-12T19:46:51,4689,11143,16303
2026-05-12T19:46:52,4689,11143,16303
2026-05-12T19:46:53,4689,11143,16303
2026-05-12T19:46:53,4689,11143,16303
2026-05-12T19:46:54,4689,11143,16303
2026-05-12T19:46:54,4689,11143,16303
2026-05-12T19:46:55,4689,11143,16303
2026-05-12T19:46:55,4689,11143,16303
2026-05-12T19:46:56,4689,11143,16303
2026-05-12T19:46:56,4689,11143,16303
2026-05-12T19:46:57,4689,11143,16303
2026-05-12T19:46:57,4689,11143,16303
