timestamp,used_mib,free_mib,total_mib
2026-05-12T19:43:09,131,15701,16303
2026-05-12T19:43:10,131,15701,16303
2026-05-12T19:43:10,131,15701,16303
2026-05-12T19:43:11,131,15701,16303
2026-05-12T19:43:11,1991,13841,16303
2026-05-12T19:43:12,3313,12519,16303
2026-05-12T19:43:12,3313,12519,16303
2026-05-12T19:43:13,3313,12519,16303
2026-05-12T19:43:13,3313,12519,16303
2026-05-12T19:43:14,3313,12519,16303
2026-05-12T19:43:14,3313,12519,16303
2026-05-12T19:43:15,3313,12519,16303
2026-05-12T19:43:15,3313,12519,16303
2026-05-12T19:43:16,3313,12519,16303
2026-05-12T19:43:16,3313,12519,16303
2026-05-12T19:43:17,3427,12405,16303
2026-05-12T19:43:18,3427,12405,16303
2026-05-12T19:43:18,3427,12405,16303
2026-05-12T19:43:19,3427,12405,16303
2026-05-12T19:43:19,3427,12405,16303
2026-05-12T19:43:20,3427,12405,16303
2026-05-12T19:43:20,3427,12405,16303
2026-05-12T19:43:21,3427,12405,16303
2026-05-12T19:43:21,3427,12405,16303
2026-05-12T19:43:22,3427,12405,16303
2026-05-12T19:43:22,3427,12405,16303
2026-05-12T19:43:23,3427,12405,16303
2026-05-12T19:43:23,3427,12405,16303
2026-05-12T19:43:24,3427,12405,16303
2026-05-12T19:43:24,3427,12405,16303
2026-05-12T19:43:25,3427,12405,16303
2026-05-12T19:43:25,3427,12405,16303
2026-05-12T19:43:26,3427,12405,16303
2026-05-12T19:43:27,3427,12405,16303
2026-05-12T19:43:27,3427,12405,16303
2026-05-12T19:43:28,3427,12405,16303
2026-05-12T19:43:28,3427,12405,16303
2026-05-12T19:43:29,3427,12405,16303
2026-05-12T19:43:29,3427,12405,16303
2026-05-12T19:43:30,3427,12405,16303
2026-05-12T19:43:30,3427,12405,16303
2026-05-12T19:43:31,3427,12405,16303
2026-05-12T19:43:31,3427,12405,16303
2026-05-12T19:43:32,3427,12405,16303
2026-05-12T19:43:32,3427,12405,16303
2026-05-12T19:43:33,3427,12405,16303
2026-05-12T19:43:33,3427,12405,16303
2026-05-12T19:43:34,3427,12405,16303
2026-05-12T19:43:34,3427,12405,16303
2026-05-12T19:43:35,3427,12405,16303
2026-05-12T19:43:35,3427,12405,16303
2026-05-12T19:43:36,3427,12405,16303
2026-05-12T19:43:37,3427,12405,16303
2026-05-12T19:43:37,3427,12405,16303
2026-05-12T19:43:38,3427,12405,16303
2026-05-12T19:43:38,3427,12405,16303
2026-05-12T19:43:39,3427,12405,16303
2026-05-12T19:43:39,3427,12405,16303
2026-05-12T19:43:40,3427,12405,16303
2026-05-12T19:43:40,3427,12405,16303
2026-05-12T19:43:41,3427,12405,16303
2026-05-12T19:43:41,3427,12405,16303
2026-05-12T19:43:42,3427,12405,16303
2026-05-12T19:43:42,3427,12405,16303
2026-05-12T19:43:43,3427,12405,16303
2026-05-12T19:43:43,3427,12405,16303
2026-05-12T19:43:44,3427,12405,16303
2026-05-12T19:43:44,3427,12405,16303
2026-05-12T19:43:45,3427,12405,16303
2026-05-12T19:43:45,3427,12405,16303
2026-05-12T19:43:46,3427,12405,16303
2026-05-12T19:43:47,3427,12405,16303
2026-05-12T19:43:47,3427,12405,16303
2026-05-12T19:43:48,3427,12405,16303
2026-05-12T19:43:48,3427,12405,16303
2026-05-12T19:43:49,3427,12405,16303
2026-05-12T19:43:49,3427,12405,16303
2026-05-12T19:43:50,3427,12405,16303
2026-05-12T19:43:50,3427,12405,16303
2026-05-12T19:43:51,3427,12405,16303
2026-05-12T19:43:51,3427,12405,16303
2026-05-12T19:43:52,3427,12405,16303
2026-05-12T19:43:52,3427,12405,16303
2026-05-12T19:43:53,3427,12405,16303
2026-05-12T19:43:53,3427,12405,16303
2026-05-12T19:43:54,3427,12405,16303
2026-05-12T19:43:54,3427,12405,16303
2026-05-12T19:43:55,3427,12405,16303
2026-05-12T19:43:55,3427,12405,16303
2026-05-12T19:43:56,3427,12405,16303
2026-05-12T19:43:57,3427,12405,16303
2026-05-12T19:43:57,3427,12405,16303
2026-05-12T19:43:58,3427,12405,16303
2026-05-12T19:43:58,3427,12405,16303
2026-05-12T19:43:59,3427,12405,16303
2026-05-12T19:43:59,3427,12405,16303
2026-05-12T19:44:00,3427,12405,16303
2026-05-12T19:44:00,3427,12405,16303
2026-05-12T19:44:01,3427,12405,16303
2026-05-12T19:44:01,3427,12405,16303
2026-05-12T19:44:02,3427,12405,16303
2026-05-12T19:44:02,3427,12405,16303
2026-05-12T19:44:03,3427,12405,16303
2026-05-12T19:44:03,3427,12405,16303
2026-05-12T19:44:04,3427,12405,16303
2026-05-12T19:44:04,3427,12405,16303
