timestamp,gpu_name,detected_gpu_name,model,resolved_model,dtype,cache_mode,batch_size,seq_len,chunk_size,status,success,error_type,error_message,elapsed_sec,tokens_processed,throughput_tokens_per_sec,peak_memory_allocated_mib,peak_memory_reserved_mib,peak_vram_used_mib,final_vram_used_mib,final_cache_seq_len,oom,position_valid,max_position_embeddings,num_hidden_layers,num_attention_heads,num_key_value_heads,head_dim,kv_formula_type,kv_theory_mb,kv_actual_mb,kv_actual_over_theory,peak_memory_mb,theoretical_dynamic_kv_mib,cache_tensor_total_mib,cache_tensor_cuda_mib,quant_backend,quant_bits,measurement
2026-05-25T14:52:16,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,1,1024,128,OK,True,,,0.517145,1024,1980.102526,3013.599609,3210.000000,3435.000000,3401.000000,1024,False,True,32768,28,12,2,128,gqa_mqa,28.000000,28.000000,1.000000,3013.599609,28.000000,28.000000,28.000000,,,chunked_cache_growth
2026-05-25T14:52:16,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,1,2048,128,OK,True,,,0.288391,2048,7101.460399,3047.982422,3248.000000,3483.000000,3401.000000,2048,False,True,32768,28,12,2,128,gqa_mqa,56.000000,56.000000,1.000000,3047.982422,56.000000,56.000000,56.000000,,,chunked_cache_growth
2026-05-25T14:52:17,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,quantized,1,1024,128,OK,True,,,0.545979,1024,1875.529448,2996.990234,3194.000000,3423.000000,3401.000000,1024,False,True,32768,28,12,2,128,gqa_mqa,28.000000,10.390625,0.371094,2996.990234,28.000000,10.390625,10.390625,hqq,4,chunked_cache_growth
2026-05-25T14:52:18,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,quantized,1,2048,128,OK,True,,,1.069131,2048,1915.574046,3012.248047,3212.000000,3441.000000,3401.000000,2048,False,True,32768,28,12,2,128,gqa_mqa,56.000000,18.265625,0.326172,3012.248047,56.000000,18.265625,18.265625,hqq,4,chunked_cache_growth
