timestamp, index, name, memory.used [MiB], memory.free [MiB], memory.total [MiB], power.draw [W]
2026/05/10 12:52:32.204, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 13.75
2026/05/10 12:52:32.706, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 13.75
2026/05/10 12:52:33.206, 0, NVIDIA GeForce RTX 5060, 173, 7528, 8151, 12.84
