model,dataset,layer,tensor_type,group_index,lower_threshold,upper_threshold,width,abs_max,baseline_dataset,absmax_abs_diff_from_baseline,absmax_rel_diff_from_baseline,width_abs_diff_from_baseline,width_rel_diff_from_baseline
OPT-350M,wikitext,0,key,0,-0.8600641345301419,0.867935505319149,1.727999639849291,0.867935505319149,wikitext,0.0,0,0.0,0
OPT-350M,wikitext,0,key,1,-0.03427751689937943,0.025662361307347073,0.059939878206726506,0.03427751689937943,wikitext,0.0,0,0.0,0
OPT-350M,wikitext,0,key,2,-0.004306008629765071,-0.004305318737706394,6.898920586768248e-07,0.004306008629765071,wikitext,0.0,0,0.0,0
OPT-350M,wikitext,1,key,0,-5.994736258865248,5.986037234042553,11.980773492907801,5.994736258865248,wikitext,0.0,0,0.0,0
OPT-350M,wikitext,1,key,1,-0.1323103667996454,0.19029982546542554,0.3226101922650709,0.19029982546542554,wikitext,0.0,0,0.0,0
OPT-350M,wikitext,1,key,2,0.029555949758976064,0.0295574648160461,1.5150570700367405e-06,0.0295574648160461,wikitext,0.0,0,0.0,0
OPT-350M,wikitext,2,key,0,-5.432236258865248,5.408577127659575,10.840813386524822,5.432236258865248,wikitext,0.0,0,0.0,0
OPT-350M,wikitext,2,key,1,-0.11994360524711879,0.21837253435283688,0.33831613959995566,0.21837253435283688,wikitext,0.0,0,0.0,0
OPT-350M,wikitext,2,key,2,0.04933491158992686,0.049338158140791226,3.2465508643664265e-06,0.049338158140791226,wikitext,0.0,0,0.0,0
OPT-350M,wikitext,3,key,0,-5.10796210106383,5.004571143617022,10.11253324468085,5.10796210106383,wikitext,0.0,0,0.0,0
OPT-350M,wikitext,3,key,1,-0.12633887757646275,0.1874177540447695,0.31375663162123224,0.1874177540447695,wikitext,0.0,0,0.0,0
OPT-350M,wikitext,3,key,2,0.030676442680629433,0.030677741300975177,1.298620345743795e-06,0.030677741300975177,wikitext,0.0,0,0.0,0
OPT-350M,wikitext,4,key,0,-5.311502659574468,5.192181959219858,10.503684618794326,5.311502659574468,wikitext,0.0,0,0.0,0
OPT-350M,wikitext,4,key,1,-0.16553773271276595,0.1186687929410461,0.28420652565381205,0.16553773271276595,wikitext,0.0,0,0.0,0
OPT-350M,wikitext,4,key,2,-0.023468504560754656,-0.023466286084330674,2.2184764239818744e-06,0.023468504560754656,wikitext,0.0,0,0.0,0
OPT-350M,wikitext,5,key,0,-5.232130984042553,5.185533023049645,10.417664007092199,5.232130984042553,wikitext,0.0,0,0.0,0
OPT-350M,wikitext,5,key,1,-0.10460127160904255,0.14478404809397163,0.2493853197030142,0.14478404809397163,wikitext,0.0,0,0.0,0
OPT-350M,wikitext,5,key,2,0.020217056815505872,0.02021922118274878,2.164367242908638e-06,0.02021922118274878,wikitext,0.0,0,0.0,0
OPT-350M,wikitext,6,key,0,-6.4283577127659575,6.214206560283688,12.642564273049645,6.4283577127659575,wikitext,0.0,0,0.0,0
OPT-350M,wikitext,6,key,1,-0.19822920129654256,0.1566040904809397,0.35483329177748224,0.19822920129654256,wikitext,0.0,0,0.0,0
OPT-350M,wikitext,6,key,2,-0.020697086415392286,-0.02069470561142509,2.380803967198114e-06,0.020697086415392286,wikitext,0.0,0,0.0,0
OPT-350M,wikitext,7,key,0,-5.972046764184397,5.8125,11.784546764184398,5.972046764184397,wikitext,0.0,0,0.0,0
OPT-350M,wikitext,7,key,1,-0.18958212128767732,0.1702127659574468,0.3597948872451241,0.18958212128767732,wikitext,0.0,0,0.0,0
OPT-350M,wikitext,7,key,2,-0.0097496767416068,-0.009746866868742814,2.8098728639871368e-06,0.0097496767416068,wikitext,0.0,0,0.0,0
OPT-350M,wikitext,8,key,0,-5.626108156028369,5.666694370567376,11.292802526595745,5.666694370567376,wikitext,0.0,0,0.0,0
OPT-350M,wikitext,8,key,1,-0.19948713153812056,0.19951137245124115,0.3989985039893617,0.19951137245124115,wikitext,0.0,0,0.0,0
OPT-350M,wikitext,8,key,2,-0.0001039568414079382,-0.00010088952720587981,3.06731420205839e-06,0.0001039568414079382,wikitext,0.0,0,0.0,0
OPT-350M,wikitext,9,key,0,-5.47905585106383,5.247645168439717,10.726701019503547,5.47905585106383,wikitext,0.0,0,0.0,0
OPT-350M,wikitext,9,key,1,-0.16570135887632978,0.13430851063829788,0.30000986951462766,0.16570135887632978,wikitext,0.0,0,0.0,0
OPT-350M,wikitext,9,key,2,-0.01567329244410738,-0.0156707763671875,2.516076919881205e-06,0.01567329244410738,wikitext,0.0,0,0.0,0
OPT-350M,wikitext,10,key,0,-3.97211602393617,4.011594082446808,7.983710106382978,4.011594082446808,wikitext,0.0,0,0.0,0
