gpu,model,original_ppl,oaken_ppl,ppl_delta,profiling_time_s,eval_time_s,peak_vram_gb,idle_vram_mib,status,notes
RTX 5060,OPT-125M,,28.0,,23.58,,1.40,,OK,"Known small-model smoke result; detailed artifact directory is not present in the current results tree."
RTX 5060,OPT-350M,22.0156,22.1875,0.1719,39.09,19.332,1.94,,OK,"Zero-range quantization guard required to avoid NaN Oaken eval; peak from profiling run."
RTX 5060,OPT-1.3B,14.6406,15.3984,0.7578,81.83,42.573,4.49,33,OK,"Default and expandable allocator runs both completed with the same PPL; expandable profile/eval peaks were lower at 4.13GB/4.35GB."
RTX 5080,OPT-125M,27.6719,28.0,0.3281,10.69,10,1.58,,OK,"Profiling was 16.69s initial and 10.69s retest; peak from profiling retest."
RTX 5080,OPT-350M,22.0156,22.1406,0.1250,16.54,13,2.11,,OK,"Requires OPT-350M projection-layer device map and zero-range quantization guard."
RTX 5080,OPT-1.3B,14.6406,15.3984,0.7578,34.80,20,4.67,38,OK,"Peak from profiling run; original eval peak 4.58GB and Oaken eval peak 4.61GB."
RTX 5080,OPT-2.7B,12.4688,12.5703,0.1015,60.50,30,7.83,38,OK,"Peak from profiling run; original eval and Oaken eval completed on 16GB RTX 5080."
RTX 5080,OPT-6.7B,10.8594,,,108.86,12,15.83,38,boundary,"Original FP16 eval and Oaken profiling completed with expandable allocator segments; Oaken eval failed with CUDA OOM."
