timestamp, index, name, memory.used [MiB], memory.free [MiB], memory.total [MiB], power.draw [W]
2026/05/09 23:20:36.466, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.16
2026/05/09 23:20:36.974, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.29
2026/05/09 23:20:37.474, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.50
2026/05/09 23:20:37.975, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.90
2026/05/09 23:20:38.475, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.90
2026/05/09 23:20:38.975, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.19
2026/05/09 23:20:39.476, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.19
2026/05/09 23:20:39.976, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.16
2026/05/09 23:20:40.476, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.16
2026/05/09 23:20:40.976, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.17
2026/05/09 23:20:41.477, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.17
2026/05/09 23:20:41.977, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.18
2026/05/09 23:20:42.477, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.18
2026/05/09 23:20:42.977, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.19
2026/05/09 23:20:43.478, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.19
2026/05/09 23:20:43.978, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.20
2026/05/09 23:20:44.478, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.44
2026/05/09 23:20:44.978, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.95
2026/05/09 23:20:45.479, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.96
2026/05/09 23:20:45.979, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.96
2026/05/09 23:20:46.479, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.24
2026/05/09 23:20:46.979, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.24
2026/05/09 23:20:47.479, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.24
2026/05/09 23:20:47.980, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.24
2026/05/09 23:20:48.480, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.18
2026/05/09 23:20:48.980, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.18
2026/05/09 23:20:49.481, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.21
2026/05/09 23:20:49.981, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.21
2026/05/09 23:20:50.481, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.23
2026/05/09 23:20:50.982, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.23
2026/05/09 23:20:51.482, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.38
2026/05/09 23:20:51.982, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.56
2026/05/09 23:20:52.482, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.99
2026/05/09 23:20:52.983, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.99
2026/05/09 23:20:53.483, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.27
2026/05/09 23:20:53.983, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.27
2026/05/09 23:20:54.484, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.23
2026/05/09 23:20:54.984, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.23
2026/05/09 23:20:55.485, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.15
2026/05/09 23:20:55.985, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.15
2026/05/09 23:20:56.485, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.20
2026/05/09 23:20:56.985, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.20
2026/05/09 23:20:57.486, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.20
2026/05/09 23:20:57.986, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.20
2026/05/09 23:20:58.486, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.23
2026/05/09 23:20:58.986, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.47
2026/05/09 23:20:59.487, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.93
2026/05/09 23:20:59.987, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.93
2026/05/09 23:21:00.487, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.21
2026/05/09 23:21:00.987, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.21
2026/05/09 23:21:01.487, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.18
2026/05/09 23:21:01.988, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.18
2026/05/09 23:21:02.488, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.16
2026/05/09 23:21:02.988, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.16
2026/05/09 23:21:03.489, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.18
2026/05/09 23:21:03.989, 0, NVIDIA GeForce RTX 5060, 33, 7668, 8151, 7.18
