2026/05/09 18:35:29.535, 38
2026/05/09 18:35:30.572, 38
2026/05/09 18:35:31.600, 1968
2026/05/09 18:35:32.626, 10070
2026/05/09 18:35:33.653, 13010
2026/05/09 18:35:34.673, 13010
2026/05/09 18:35:35.700, 13010
2026/05/09 18:35:36.724, 13010
2026/05/09 18:35:37.741, 13010
2026/05/09 18:35:38.768, 15804
2026/05/09 18:35:39.794, 15804
2026/05/09 18:35:40.820, 15804
2026/05/09 18:35:41.847, 15804
2026/05/09 18:35:42.873, 15804
2026/05/09 18:35:43.900, 15804
2026/05/09 18:35:44.926, 15804
2026/05/09 18:35:45.953, 15804
2026/05/09 18:35:46.979, 15804
2026/05/09 18:35:48.006, 15804
2026/05/09 18:35:49.033, 15804
2026/05/09 18:35:50.060, 15804
2026/05/09 18:35:51.087, 15804
2026/05/09 18:35:52.114, 15804
2026/05/09 18:35:53.140, 15804
2026/05/09 18:35:54.167, 15804
2026/05/09 18:35:55.193, 15804
2026/05/09 18:35:56.222, 15804
2026/05/09 18:35:57.249, 15804
2026/05/09 18:35:58.275, 15804
2026/05/09 18:35:59.302, 15804
2026/05/09 18:36:00.324, 15804
2026/05/09 18:36:01.350, 15804
2026/05/09 18:36:02.376, 15804
2026/05/09 18:36:03.402, 15804
2026/05/09 18:36:04.428, 15804
2026/05/09 18:36:05.454, 15804
2026/05/09 18:36:06.481, 15804
2026/05/09 18:36:07.508, 15804
2026/05/09 18:36:08.535, 15804
2026/05/09 18:36:09.560, 15804
2026/05/09 18:36:10.586, 15804
2026/05/09 18:36:11.614, 15804
2026/05/09 18:36:12.640, 15804
2026/05/09 18:36:13.667, 15804
2026/05/09 18:36:14.694, 15804
2026/05/09 18:36:15.720, 15804
2026/05/09 18:36:16.746, 15806
