timestamp,used_mib,free_mib,total_mib
2026-05-12T19:59:55,33,7668,8151
2026-05-12T19:59:55,33,7668,8151
2026-05-12T19:59:56,33,7668,8151
2026-05-12T19:59:56,33,7668,8151
2026-05-12T19:59:57,2629,5072,8151
2026-05-12T19:59:57,3067,4634,8151
2026-05-12T19:59:58,3067,4634,8151
2026-05-12T19:59:58,3067,4634,8151
2026-05-12T19:59:59,3067,4634,8151
2026-05-12T19:59:59,3067,4634,8151
2026-05-12T20:00:00,3067,4634,8151
2026-05-12T20:00:00,3067,4634,8151
2026-05-12T20:00:01,3067,4634,8151
2026-05-12T20:00:01,3067,4634,8151
2026-05-12T20:00:02,3067,4634,8151
2026-05-12T20:00:02,3211,4490,8151
2026-05-12T20:00:03,4419,3282,8151
2026-05-12T20:00:03,4419,3282,8151
2026-05-12T20:00:04,4419,3282,8151
2026-05-12T20:00:05,4419,3282,8151
2026-05-12T20:00:05,4419,3282,8151
2026-05-12T20:00:06,4419,3282,8151
2026-05-12T20:00:06,4419,3282,8151
2026-05-12T20:00:07,4419,3282,8151
2026-05-12T20:00:07,4419,3282,8151
2026-05-12T20:00:08,4419,3282,8151
2026-05-12T20:00:08,4419,3282,8151
2026-05-12T20:00:09,4419,3282,8151
2026-05-12T20:00:09,4419,3282,8151
2026-05-12T20:00:10,4419,3282,8151
2026-05-12T20:00:10,4419,3282,8151
2026-05-12T20:00:11,4419,3282,8151
2026-05-12T20:00:11,4419,3282,8151
2026-05-12T20:00:12,4419,3282,8151
2026-05-12T20:00:12,4419,3282,8151
2026-05-12T20:00:13,4419,3282,8151
2026-05-12T20:00:13,4419,3282,8151
2026-05-12T20:00:14,4419,3282,8151
2026-05-12T20:00:14,4419,3282,8151
2026-05-12T20:00:15,4419,3282,8151
2026-05-12T20:00:15,4419,3282,8151
2026-05-12T20:00:16,4419,3282,8151
2026-05-12T20:00:16,4419,3282,8151
2026-05-12T20:00:17,4419,3282,8151
2026-05-12T20:00:18,4419,3282,8151
2026-05-12T20:00:18,4419,3282,8151
2026-05-12T20:00:19,4419,3282,8151
2026-05-12T20:00:19,4419,3282,8151
2026-05-12T20:00:20,4419,3282,8151
2026-05-12T20:00:20,4419,3282,8151
2026-05-12T20:00:21,4419,3282,8151
2026-05-12T20:00:21,4419,3282,8151
2026-05-12T20:00:22,4419,3282,8151
2026-05-12T20:00:22,4419,3282,8151
2026-05-12T20:00:23,4419,3282,8151
2026-05-12T20:00:23,4419,3282,8151
2026-05-12T20:00:24,4419,3282,8151
2026-05-12T20:00:24,4419,3282,8151
2026-05-12T20:00:25,4419,3282,8151
2026-05-12T20:00:25,4419,3282,8151
2026-05-12T20:00:26,4419,3282,8151
2026-05-12T20:00:26,4419,3282,8151
2026-05-12T20:00:27,4419,3282,8151
2026-05-12T20:00:27,4419,3282,8151
2026-05-12T20:00:28,4419,3282,8151
2026-05-12T20:00:28,4419,3282,8151
2026-05-12T20:00:29,4419,3282,8151
2026-05-12T20:00:29,4419,3282,8151
2026-05-12T20:00:30,4419,3282,8151
2026-05-12T20:00:30,4419,3282,8151
2026-05-12T20:00:31,4419,3282,8151
2026-05-12T20:00:32,4419,3282,8151
2026-05-12T20:00:32,4419,3282,8151
2026-05-12T20:00:33,4419,3282,8151
2026-05-12T20:00:33,4419,3282,8151
2026-05-12T20:00:34,4419,3282,8151
2026-05-12T20:00:34,4419,3282,8151
2026-05-12T20:00:35,4419,3282,8151
2026-05-12T20:00:35,4419,3282,8151
2026-05-12T20:00:36,4419,3282,8151
2026-05-12T20:00:36,4419,3282,8151
2026-05-12T20:00:37,4419,3282,8151
2026-05-12T20:00:37,4419,3282,8151
