timestamp,used_mib,free_mib,total_mib
2026-05-12T19:52:29,33,7668,8151
2026-05-12T19:52:30,33,7668,8151
2026-05-12T19:52:30,33,7668,8151
2026-05-12T19:52:31,33,7668,8151
2026-05-12T19:52:32,807,6894,8151
2026-05-12T19:52:32,807,6894,8151
2026-05-12T19:52:33,807,6894,8151
2026-05-12T19:52:33,807,6894,8151
2026-05-12T19:52:34,807,6894,8151
2026-05-12T19:52:34,807,6894,8151
2026-05-12T19:52:35,807,6894,8151
2026-05-12T19:52:35,807,6894,8151
2026-05-12T19:52:36,807,6894,8151
2026-05-12T19:52:36,807,6894,8151
2026-05-12T19:52:37,903,6798,8151
2026-05-12T19:52:37,1115,6586,8151
2026-05-12T19:52:38,1115,6586,8151
2026-05-12T19:52:38,1115,6586,8151
2026-05-12T19:52:39,1115,6586,8151
2026-05-12T19:52:39,1115,6586,8151
2026-05-12T19:52:40,1115,6586,8151
2026-05-12T19:52:40,1115,6586,8151
2026-05-12T19:52:41,1115,6586,8151
2026-05-12T19:52:41,1115,6586,8151
2026-05-12T19:52:42,1115,6586,8151
2026-05-12T19:52:42,1115,6586,8151
2026-05-12T19:52:43,1115,6586,8151
2026-05-12T19:52:43,1115,6586,8151
2026-05-12T19:52:44,1115,6586,8151
2026-05-12T19:52:44,1115,6586,8151
2026-05-12T19:52:45,1115,6586,8151
2026-05-12T19:52:46,1115,6586,8151
2026-05-12T19:52:46,1115,6586,8151
2026-05-12T19:52:47,1115,6586,8151
2026-05-12T19:52:47,1115,6586,8151
2026-05-12T19:52:48,1115,6586,8151
2026-05-12T19:52:48,1115,6586,8151
2026-05-12T19:52:49,1115,6586,8151
2026-05-12T19:52:49,1115,6586,8151
2026-05-12T19:52:50,1115,6586,8151
2026-05-12T19:52:50,1115,6586,8151
2026-05-12T19:52:51,1115,6586,8151
2026-05-12T19:52:51,1115,6586,8151
2026-05-12T19:52:52,1115,6586,8151
2026-05-12T19:52:52,1115,6586,8151
2026-05-12T19:52:53,33,7668,8151
