timestamp,used_mib,free_mib,total_mib
2026-05-12T19:57:01,33,7668,8151
2026-05-12T19:57:01,33,7668,8151
2026-05-12T19:57:02,33,7668,8151
2026-05-12T19:57:02,33,7668,8151
2026-05-12T19:57:03,3067,4634,8151
2026-05-12T19:57:03,3067,4634,8151
2026-05-12T19:57:04,3067,4634,8151
2026-05-12T19:57:04,3067,4634,8151
2026-05-12T19:57:05,3067,4634,8151
2026-05-12T19:57:05,3067,4634,8151
2026-05-12T19:57:06,3067,4634,8151
2026-05-12T19:57:06,3067,4634,8151
2026-05-12T19:57:07,3067,4634,8151
2026-05-12T19:57:07,3067,4634,8151
2026-05-12T19:57:08,3097,4604,8151
2026-05-12T19:57:08,3097,4604,8151
2026-05-12T19:57:09,3097,4604,8151
2026-05-12T19:57:10,3097,4604,8151
2026-05-12T19:57:10,3097,4604,8151
2026-05-12T19:57:11,3097,4604,8151
2026-05-12T19:57:11,3097,4604,8151
2026-05-12T19:57:12,3097,4604,8151
2026-05-12T19:57:12,3097,4604,8151
2026-05-12T19:57:13,3097,4604,8151
2026-05-12T19:57:13,3097,4604,8151
2026-05-12T19:57:14,3097,4604,8151
2026-05-12T19:57:14,3097,4604,8151
2026-05-12T19:57:15,3097,4604,8151
2026-05-12T19:57:15,3097,4604,8151
2026-05-12T19:57:16,3097,4604,8151
2026-05-12T19:57:16,3097,4604,8151
2026-05-12T19:57:17,3097,4604,8151
2026-05-12T19:57:17,3097,4604,8151
2026-05-12T19:57:18,3097,4604,8151
2026-05-12T19:57:18,3097,4604,8151
2026-05-12T19:57:19,3097,4604,8151
2026-05-12T19:57:19,3097,4604,8151
2026-05-12T19:57:20,3097,4604,8151
2026-05-12T19:57:20,3097,4604,8151
2026-05-12T19:57:21,3097,4604,8151
2026-05-12T19:57:21,3097,4604,8151
2026-05-12T19:57:22,3097,4604,8151
2026-05-12T19:57:23,3097,4604,8151
2026-05-12T19:57:23,3097,4604,8151
2026-05-12T19:57:24,3097,4604,8151
2026-05-12T19:57:24,3097,4604,8151
2026-05-12T19:57:25,3097,4604,8151
2026-05-12T19:57:25,3097,4604,8151
2026-05-12T19:57:26,3097,4604,8151
2026-05-12T19:57:26,3097,4604,8151
2026-05-12T19:57:27,3097,4604,8151
2026-05-12T19:57:27,3097,4604,8151
2026-05-12T19:57:28,3097,4604,8151
2026-05-12T19:57:28,3097,4604,8151
2026-05-12T19:57:29,3097,4604,8151
2026-05-12T19:57:29,3097,4604,8151
2026-05-12T19:57:30,3097,4604,8151
2026-05-12T19:57:30,3097,4604,8151
2026-05-12T19:57:31,3097,4604,8151
2026-05-12T19:57:31,3099,4602,8151
