timestamp,used_mib,free_mib,total_mib
2026-05-12T19:50:09,33,7668,8151
2026-05-12T19:50:09,33,7668,8151
2026-05-12T19:50:10,33,7668,8151
2026-05-12T19:50:10,33,7668,8151
2026-05-12T19:50:11,627,7074,8151
2026-05-12T19:50:11,807,6894,8151
2026-05-12T19:50:12,807,6894,8151
2026-05-12T19:50:12,807,6894,8151
2026-05-12T19:50:13,807,6894,8151
2026-05-12T19:50:13,807,6894,8151
2026-05-12T19:50:14,807,6894,8151
2026-05-12T19:50:15,807,6894,8151
2026-05-12T19:50:15,807,6894,8151
2026-05-12T19:50:16,807,6894,8151
2026-05-12T19:50:16,825,6876,8151
2026-05-12T19:50:17,905,6796,8151
2026-05-12T19:50:17,905,6796,8151
2026-05-12T19:50:18,905,6796,8151
2026-05-12T19:50:18,905,6796,8151
2026-05-12T19:50:19,905,6796,8151
2026-05-12T19:50:19,905,6796,8151
2026-05-12T19:50:20,905,6796,8151
2026-05-12T19:50:20,905,6796,8151
2026-05-12T19:50:21,905,6796,8151
2026-05-12T19:50:21,905,6796,8151
2026-05-12T19:50:22,905,6796,8151
2026-05-12T19:50:22,905,6796,8151
2026-05-12T19:50:23,905,6796,8151
2026-05-12T19:50:23,905,6796,8151
2026-05-12T19:50:24,905,6796,8151
2026-05-12T19:50:24,905,6796,8151
2026-05-12T19:50:25,905,6796,8151
2026-05-12T19:50:25,905,6796,8151
2026-05-12T19:50:26,905,6796,8151
2026-05-12T19:50:26,905,6796,8151
2026-05-12T19:50:27,905,6796,8151
2026-05-12T19:50:28,905,6796,8151
2026-05-12T19:50:28,905,6796,8151
2026-05-12T19:50:29,905,6796,8151
2026-05-12T19:50:29,905,6796,8151
2026-05-12T19:50:30,905,6796,8151
2026-05-12T19:50:30,907,6794,8151
2026-05-12T19:50:31,907,6794,8151
2026-05-12T19:50:31,909,6792,8151
2026-05-12T19:50:32,908,6792,8151
