timestamp,gpu_name,detected_gpu_name,model,resolved_model,dtype,cache_mode,batch_size,seq_len,chunk_size,status,success,error_type,error_message,elapsed_sec,tokens_processed,throughput_tokens_per_sec,peak_memory_allocated_mib,peak_memory_reserved_mib,peak_vram_used_mib,final_vram_used_mib,final_cache_seq_len,theoretical_dynamic_kv_mib,cache_tensor_total_mib,cache_tensor_cuda_mib,quant_backend,quant_bits,measurement
2026-05-25T11:50:20,rtx5060-8gb,NVIDIA GeForce RTX 5060,facebook/opt-1.3b,/home/ssu/models/opt-1.3b,fp16,dynamic,8,2048,128,OK,True,,,1.645435,16384,9957.246952,5727.867188,7464.000000,7699.000000,2997.000000,2048,3072.000000,3072.000000,3072.000000,,,chunked_cache_growth
2026-05-25T11:50:23,rtx5060-8gb,NVIDIA GeForce RTX 5060,facebook/opt-1.3b,/home/ssu/models/opt-1.3b,fp16,dynamic,8,4096,128,OOM,False,CUDA_OOM,"CUDA out of memory. Tried to allocate 100.00 MiB. GPU 0 has a total capacity of 7.52 GiB of which 93.69 MiB is free. Including non-PyTorch memory, this process has 7.34 GiB memory in use. Of the allocated memory 7.04 GiB is allocated by PyTorch, and 165.99 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)",0.000000,24576,,7297.992188,7464.000000,7699.000000,2997.000000,3072,6144.000000,,,,,chunked_cache_growth
2026-05-25T11:50:26,rtx5060-8gb,NVIDIA GeForce RTX 5060,facebook/opt-1.3b,/home/ssu/models/opt-1.3b,fp16,dynamic,8,6144,128,OOM,False,CUDA_OOM,"CUDA out of memory. Tried to allocate 100.00 MiB. GPU 0 has a total capacity of 7.52 GiB of which 93.69 MiB is free. Including non-PyTorch memory, this process has 7.34 GiB memory in use. Of the allocated memory 7.04 GiB is allocated by PyTorch, and 165.99 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)",0.000000,24576,,7297.992188,7464.000000,7699.000000,2997.000000,3072,9216.000000,,,,,chunked_cache_growth
2026-05-25T11:50:29,rtx5060-8gb,NVIDIA GeForce RTX 5060,facebook/opt-1.3b,/home/ssu/models/opt-1.3b,fp16,dynamic,8,8192,128,OOM,False,CUDA_OOM,"CUDA out of memory. Tried to allocate 100.00 MiB. GPU 0 has a total capacity of 7.52 GiB of which 93.69 MiB is free. Including non-PyTorch memory, this process has 7.34 GiB memory in use. Of the allocated memory 7.04 GiB is allocated by PyTorch, and 165.99 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)",0.000000,24576,,7297.992188,7464.000000,7699.000000,2997.000000,3072,12288.000000,,,,,chunked_cache_growth
2026-05-25T11:54:11,rtx5060-8gb,NVIDIA GeForce RTX 5060,facebook/opt-1.3b,/home/ssu/models/opt-1.3b,fp16,quantized,4,8192,128,OK,True,,,207.482029,32768,157.931751,6247.223145,7452.000000,7687.000000,2997.000000,8192,6144.000000,1797.000000,1797.000000,hqq,4,chunked_cache_growth
2026-05-25T11:55:54,rtx5060-8gb,NVIDIA GeForce RTX 5060,facebook/opt-1.3b,/home/ssu/models/opt-1.3b,fp16,quantized,8,4096,128,OK,True,,,103.298838,32768,317.215572,6282.281738,7116.000000,7351.000000,2997.000000,4096,6144.000000,1866.000000,1866.000000,hqq,4,chunked_cache_growth
2026-05-25T11:57:48,rtx5060-8gb,NVIDIA GeForce RTX 5060,facebook/opt-1.3b,/home/ssu/models/opt-1.3b,fp16,quantized,8,6144,128,OOM,False,CUDA_OOM,"CUDA out of memory. Tried to allocate 132.00 MiB. GPU 0 has a total capacity of 7.52 GiB of which 125.69 MiB is free. Including non-PyTorch memory, this process has 7.31 GiB memory in use. Of the allocated memory 6.13 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)",0.000000,32768,,6492.500488,7372.000000,7607.000000,2997.000000,4224,9216.000000,,,hqq,4,chunked_cache_growth
2026-05-25T11:59:40,rtx5060-8gb,NVIDIA GeForce RTX 5060,facebook/opt-1.3b,/home/ssu/models/opt-1.3b,fp16,quantized,8,8192,128,OOM,False,CUDA_OOM,"CUDA out of memory. Tried to allocate 132.00 MiB. GPU 0 has a total capacity of 7.52 GiB of which 73.69 MiB is free. Including non-PyTorch memory, this process has 7.36 GiB memory in use. Of the allocated memory 6.13 GiB is allocated by PyTorch, and 1.09 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)",0.000000,32768,,6490.687988,7456.000000,7691.000000,2997.000000,4224,12288.000000,,,hqq,4,chunked_cache_growth
2026-05-25T12:01:49,rtx5060-8gb,NVIDIA GeForce RTX 5060,facebook/opt-1.3b,/home/ssu/models/opt-1.3b,fp16,no_cache,4,8192,128,OK,True,,,2.475219,32768,13238.427089,2589.621094,2782.000000,3015.000000,2995.000000,0,6144.000000,,,,,chunked_no_cache_lower_bound
2026-05-25T12:01:51,rtx5060-8gb,NVIDIA GeForce RTX 5060,facebook/opt-1.3b,/home/ssu/models/opt-1.3b,fp16,no_cache,8,4096,128,OK,True,,,2.237220,32768,14646.748010,2613.632812,2796.000000,3029.000000,2995.000000,0,6144.000000,,,,,chunked_no_cache_lower_bound
2026-05-25T12:01:55,rtx5060-8gb,NVIDIA GeForce RTX 5060,facebook/opt-1.3b,/home/ssu/models/opt-1.3b,fp16,no_cache,8,6144,128,OK,True,,,3.369917,49152,14585.522865,2613.632812,2796.000000,3029.000000,2995.000000,0,9216.000000,,,,,chunked_no_cache_lower_bound
2026-05-25T12:01:59,rtx5060-8gb,NVIDIA GeForce RTX 5060,facebook/opt-1.3b,/home/ssu/models/opt-1.3b,fp16,no_cache,8,8192,128,OK,True,,,4.504088,65536,14550.338413,2613.632812,2796.000000,3029.000000,2995.000000,0,12288.000000,,,,,chunked_no_cache_lower_bound
