model,gpu,layer,tensor_type,group_index,lower_threshold,upper_threshold,width,abs_max
OPT-1.3B,RTX 5060,9,key,2,-0.013387409507805575,-0.013385738886839955,1.670620965619693e-06,0.013387409507805575
OPT-1.3B,RTX 5060,10,key,0,-6.632895611702128,6.631177969858156,13.264073581560282,6.632895611702128
OPT-1.3B,RTX 5060,10,key,1,-0.19220879737367022,0.18698055186170212,0.37918934923537234,0.19220879737367022
OPT-1.3B,RTX 5060,10,key,2,-0.0024885585967530594,-0.002487029589659779,1.5290070932805037e-06,0.0024885585967530594
OPT-1.3B,RTX 5060,11,key,0,-6.1067985372340425,6.094387189716312,12.201185726950355,6.1067985372340425
OPT-1.3B,RTX 5060,11,key,1,-0.1872844290226064,0.15227016151374115,0.3395545905363475,0.1872844290226064
OPT-1.3B,RTX 5060,11,key,2,-0.017475905993306045,-0.01747473588226535,1.170111040695726e-06,0.017475905993306045
OPT-1.3B,RTX 5060,12,key,0,-6.224900265957447,6.261136968085107,12.486037234042554,6.261136968085107
OPT-1.3B,RTX 5060,12,key,1,-0.18715370124113476,0.17880530391179078,0.36595900515292556,0.18715370124113476
OPT-1.3B,RTX 5060,12,key,2,-0.003971155653608606,-0.003970039651748982,1.1160018596242244e-06,0.003971155653608606
OPT-1.3B,RTX 5060,13,key,0,-6.181959219858156,6.2838264627659575,12.465785682624112,6.2838264627659575
OPT-1.3B,RTX 5060,13,key,1,-0.19007126828457446,0.18747489333998227,0.37754616162455673,0.19007126828457446
OPT-1.3B,RTX 5060,13,key,2,-0.0011023671914499702,-0.0011008022524786334,1.5649389713367871e-06,0.0011023671914499702
OPT-1.3B,RTX 5060,14,key,0,-5.535821143617022,5.6857546542553195,11.22157579787234,5.6857546542553195
OPT-1.3B,RTX 5060,14,key,1,-0.19394548564937944,0.1321129765070922,0.3260584621564716,0.19394548564937944
OPT-1.3B,RTX 5060,14,key,2,-0.030994983429604387,-0.030993143717447918,1.8397121564692198e-06,0.030994983429604387
OPT-1.3B,RTX 5060,15,key,0,-4.7638242464539005,4.731493794326241,9.495318040780141,4.7638242464539005
OPT-1.3B,RTX 5060,15,key,1,-0.17656388519503546,0.09566892799756206,0.2722328131925975,0.17656388519503546
OPT-1.3B,RTX 5060,15,key,2,-0.040361445000831116,-0.04036014638048537,1.298620345743795e-06,0.040361445000831116
OPT-1.3B,RTX 5060,16,key,0,-5.020168439716312,4.8494570035460995,9.86962544326241,5.020168439716312
OPT-1.3B,RTX 5060,16,key,1,-0.16647879958998227,0.12228198761635638,0.28876078720633863,0.16647879958998227
OPT-1.3B,RTX 5060,16,key,2,-0.0219250942798371,-0.021924120314577793,9.739652593078463e-07,0.0219250942798371
OPT-1.3B,RTX 5060,17,key,0,-4.4318484042553195,4.462572030141844,8.894420434397164,4.462572030141844
OPT-1.3B,RTX 5060,17,key,1,-0.12775523950022163,0.14138902163674646,0.2691442611369681,0.14138902163674646
OPT-1.3B,RTX 5060,17,key,2,0.006775516990228748,0.0067766012874900874,1.0842972613398297e-06,0.0067766012874900874
OPT-1.3B,RTX 5060,18,key,0,-3.9540253767730498,3.9520445478723403,7.90606992464539,3.9540253767730498
OPT-1.3B,RTX 5060,18,key,1,-0.12121408881870567,0.1276033009197695,0.24881738973847517,0.1276033009197695
OPT-1.3B,RTX 5060,18,key,2,0.003181298573811849,0.003182611566908816,1.3129930969669155e-06,0.003182611566908816
OPT-1.3B,RTX 5060,19,key,0,-4.009059175531915,3.9739167774822697,7.982975953014185,4.009059175531915
OPT-1.3B,RTX 5060,19,key,1,-0.14980364860372342,0.11702906831781915,0.26683271692154253,0.14980364860372342
OPT-1.3B,RTX 5060,19,key,2,-0.016455034837655143,-0.016454033817805296,1.001019849847934e-06,0.016455034837655143
OPT-1.3B,RTX 5060,20,key,0,-3.906499335106383,3.9722268395390072,7.87872617464539,3.9722268395390072
OPT-1.3B,RTX 5060,20,key,1,-0.14247942985372342,0.1224036250554078,0.2648830549091312,0.14247942985372342
OPT-1.3B,RTX 5060,20,key,2,-0.010107846970253803,-0.010106761404808531,1.08556544527183e-06,0.010107846970253803
OPT-1.3B,RTX 5060,21,key,0,-4.00264572251773,4.056723736702128,8.059369459219859,4.056723736702128
OPT-1.3B,RTX 5060,21,key,1,-0.11230555324689716,0.19435758117242907,0.30666313441932624,0.19435758117242907
OPT-1.3B,RTX 5060,21,key,2,0.041210309833499555,0.04121177078138852,1.4609478889635041e-06,0.04121177078138852
